,role,company_name,work_experience,location,skills,post_date,link
238,Data Executive,Piramal Swasthya,3-5 Yrs,"Patna, Bihar","['Data Management', 'Data Entry', 'MS Office', 'Data Analytics', 'Record Keeping', 'Filing', 'handle email', 'Data Collection']",1 Day Ago,https://www.naukri.com/job-listings-data-executive-piramal-swasthya-patna-bihar-3-to-5-years-250124008494
239,Data Annotation Specialist (Night Shift),Eligarf Technologies,0-4 Yrs,"Pune, Maharashtra","['Data Annotation', 'Fresher', 'Data Entry', 'Annotation', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-data-annotation-specialist-night-shift-eligarf-technologies-pune-maharashtra-0-to-4-years-250124008440
240,"Junior Manager, Quality Assurance & TS",MUKUND,2-5 Yrs,Chennai,"['Quality Assurance', 'quality management', 'data analysis', 'customer satisfaction', 'process improvement', 'customer experience', 'Data', 'Assurance']",1 Day Ago,https://www.naukri.com/job-listings-junior-manager-quality-assurance-ts-mukand-ltd-chennai-2-to-5-years-250124908434
241,Production Lead,Star Power Distribution,10-15 Yrs,"Sonipat, Haryana","['Fabrication', 'Roll Forming', 'Production Engineering', 'Bom Preparation', 'Drilling', 'Cutting', 'BOM', 'Welding']",1 Day Ago,https://www.naukri.com/job-listings-production-lead-star-power-distribution-pvt-ltd-sonipat-haryana-10-to-15-years-250124008392
242,MIS CUM Accountant,Acce Global Software,3-8 Yrs,"Surat, Gujarat","['Mis Report Preparation', 'Tally', 'Gst', 'Accounting', 'Reporting', 'MIS', 'MIS reporting', 'Report preparation']",1 Day Ago,https://www.naukri.com/job-listings-mis-accountant-acce-global-software-surat-gujarat-3-to-8-years-250124008346
243,Mis Executive,**Confidential**,2-6 Yrs,"Mumbai, Maharashtra, Mumbai Suburban, Maharashtra","['Pivot Table', 'VLOOKUP', 'Conditional Formatting', 'Formulas', 'MIS Reporting', 'Data Validation', 'Advance Excel', 'Countif']",1 Day Ago,https://www.naukri.com/job-listings-mis-executive-confidential-mumbai-maharashtra-mumbai-suburban-maharashtra-2-to-6-years-250124008158
244,GN - SONG - MT - Digital Marketing - Programmatic - Consultant,Accenture,5-8 Yrs,Gurgaon/Gurugram,"['Data analysis', 'Front end', 'Data management', 'Customer service', 'Bidding', 'Google Analytics', 'Cost reduction', 'Digital marketing']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-mt-digital-marketing-programmatic-consultant-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-8-years-250124908231
245,Urgent opening For MIS Executive,Its is a retail company,1-4 Yrs,"Unnao, Uttar Pradesh, Kanpur, Uttar Pradesh, Lucknow, Uttar Pradesh","['advance excel', 'MIS', 'Pivot Table', 'SUMIF', 'VLOOKUP', 'Conditional Formatting', 'Formulas', 'HLOOKUP']",1 Day Ago,https://www.naukri.com/job-listings-urgent-opening-for-mis-executive-seek-hr-solutions-unnao-uttar-pradesh-kanpur-uttar-pradesh-lucknow-uttar-pradesh-1-to-4-years-250124008188
246,Civil Engineer,Leading Client,1-2 Yrs,"Ludhiana, Una","['Civil', 'data analysis', 'civil engineering', 'design', 'cad', 'civil 3d', 'autocad', 'construction projects']",1 Day Ago,https://www.naukri.com/job-listings-civil-engineer-aim-jobs-hr-service-ludhiana-una-1-to-2-years-250124908171
247,Head - Data Automation and Data Analytics,KRBL Limited,7-12 Yrs,"Noida, Uttar Pradesh","['Data Automation', 'Data Analytics', 'Data Management', 'Data Analysis', 'Automation', 'Heading', 'Analytics', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-head-data-automation-and-data-analytics-krbl-limited-noida-uttar-pradesh-7-to-12-years-140823005030
248,Manager - Risk and Assurance,Sula Vineyards,2-6 Yrs,"Nashik, Maharashtra","['Internal Audit', 'ERM', 'Audit Planning', 'Internal Control', 'Companies Act', 'Risk Assessment', 'Risk Assurance', 'Ifc']",1 Day Ago,https://www.naukri.com/job-listings-manager-risk-and-assurance-sula-vineyards-limited-nashik-maharashtra-2-to-6-years-250124008114
249,Group Product Manager - Respiratory,Zydus Lifesciences,8-13 Yrs,Mumbai (All Areas),"['Marketing', 'Product Strategy', 'Product Management', 'GPM', 'New Product Launch', 'Product Marketing', 'Respiratory', 'Launch']",1 Day Ago,https://www.naukri.com/job-listings-group-product-manager-respiratory-zydus-lifesciences-mumbai-all-areas-8-to-13-years-151223008326
250,HR Business Partner,Hero Insurance Broking India,4-8 Yrs,"New Delhi, Delhi(Okhla)","['HR Operations', 'Talent Acquisition', 'grievance management', 'Grievance handling', 'Management', 'Acquisition', 'Hrsd', 'Operations']",1 Day Ago,https://www.naukri.com/job-listings-hr-business-partner-hero-insurance-broking-india-new-delhi-delhi-4-to-8-years-250124008009
251,Power BI Consultant,Blend360 India,5-10 Yrs,"Hyderabad/ Secunderabad, Telangana","['Power Bi', 'data visualization', 'Dashboard Development', 'business intelligence', 'sql', 'Intelligence', 'Consulting', 'Dashboards']",1 Day Ago,https://www.naukri.com/job-listings-power-bi-consultant-blend360-india-hyderabad-secunderabad-telangana-5-to-10-years-240723004154
252,Python with Spark and Scala,UST,5-10 Yrs,"Hybrid - Hyderabad, Bengaluru","['SCALA', 'Python', 'Pyspark', 'Data Engineering', 'Dremio', 'Big Data', 'Starbust', 'Spark']",1 Day Ago,https://www.naukri.com/job-listings-python-with-spark-and-scala-ust-hyderabad-bengaluru-5-to-10-years-250124007923
253,Data Science-Data Designer,Accenture,10-12 Yrs,Bangalore/Bengaluru,"['Agile', 'Apache', 'Python', 'Data analysis', 'GIT', 'Image processing', 'Django', 'Machine learning']",1 Day Ago,https://www.naukri.com/job-listings-data-science-data-designer-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-250124907895
254,GN - SC&O - S&P - Procurement Transformation - Manager,Accenture,10-12 Yrs,Pune,"['Procurement', 'Data analysis', 'Machine learning', 'Asset management', 'Financial services', 'Strategy consulting', 'Reinsurance', 'Operations']",1 Day Ago,https://www.naukri.com/job-listings-gn-sc-o-s-p-procurement-transformation-manager-accenture-solutions-pvt-ltd-pune-10-to-12-years-250124907872
255,Service Delivery Ops Senior Analyst,Accenture,5-8 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Python', 'Service delivery', 'Supplier relationship management', 'Procurement management', 'Marketing communication', 'Communication skills', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-service-delivery-ops-senior-analyst-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-250124907869
256,Cloud Data Lead/Architect (Multiple Positions),Datametica,9-14 Yrs,"Pune, Maharashtra(Mundhwa +1)","['Data Integration', 'Data Migration', 'Data Architecture', 'ETL', 'Azure', 'Azure Cloud Platform', 'Google Cloud Platform', 'Informatica']",1 Day Ago,https://www.naukri.com/job-listings-cloud-data-lead-architect-multiple-positions-datametica-pune-maharashtra-9-to-14-years-250124007854
257,BI Analyst,_VOIS,4-6 Yrs,Bangalore/Bengaluru,"['Business Intelligence', 'Data analysis', 'report design', 'Strategic planning', 'Reporting', 'Analysis', 'Bi', 'Intelligence']",1 Day Ago,https://www.naukri.com/job-listings-bi-analyst-vodafone-india-services-pvt-ltd-bangalore-bengaluru-4-to-6-years-250124907847
258,Data Analyst,Husk Power Systems,4-7 Yrs,"Pune, Maharashtra","['Data Handling', 'Python', 'R', 'SAS', 'Power Bi', 'Telemetry Data', 'Data Mining', 'Tableau']",1 Day Ago,https://www.naukri.com/job-listings-data-analyst-husk-power-systems-pune-maharashtra-4-to-7-years-250124007793
259,Subject Matter Expert - Supply Chain Management,Protiviti India,1-6 Yrs,"Bangalore Rural, Karnataka, Mumbai (All Areas)","['Supply Chain Consulting', 'Supply Chain', 'Procurement', 'Audit', 'Business Consulting', 'inventory audit', 'Supply Chain Management', 'SCM']",1 Day Ago,https://www.naukri.com/job-listings-subject-matter-expert-supply-chain-management-protiviti-india-member-firm-bangalore-rural-karnataka-mumbai-all-areas-1-to-6-years-180124004691
260,Tableau Consultant,Blend360 India,5-10 Yrs,Hyderabad/Secunderabad,"['data analytics', 'Data Visualization', 'Tableau', 'business intelligence', 'SQL', 'Data Warehousing', 'Analytics', 'Warehouse']",1 Day Ago,https://www.naukri.com/job-listings-tableau-consultant-blend360-india-hyderabad-secunderabad-5-to-10-years-140223005980
261,Media Planning - Traditional/Digital,Protiviti India,1-5 Yrs,"Gurugram, Mumbai (All Areas)","['Digital Media Planning', 'Media Strategy', 'Media Plan', 'Google Ads', 'traditional media', 'Media Relations', 'Digital Media', 'Digital Campaigns']",1 Day Ago,https://www.naukri.com/job-listings-media-planning-traditional-digital-protiviti-india-member-firm-gurugram-mumbai-all-areas-1-to-5-years-180124004535
262,Financial Data Analyst,Cedcoss Technologies,2-6 Yrs,"Lucknow, Uttar Pradesh","['Product Analysis', 'financial Data Analyst', 'Financial Ratios', 'Advanced Ms Excel', 'Vba Excel', 'Financial Analysis', 'Formulas', 'Macros']",1 Day Ago,https://www.naukri.com/job-listings-financial-data-analyst-cedcoss-technologies-lucknow-uttar-pradesh-2-to-6-years-250124007716
263,Business Analyst-(Digital Transformation)/Day Shift,Black and white Business Solutions,0-1 Yrs,Bengaluru,"['Business Analytics', 'Content Development', 'Data Analysis', 'Digital Transformation', 'Business Analysis', 'Content Management', 'Management', 'Digital']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-digital-transformation-day-shift-black-and-white-business-solutions-bengaluru-0-to-1-years-250124007681
264,MIS Executive and Analyst,Vision India Services,3-7 Yrs,"Noida, Uttar Pradesh","['Data Analysis', 'Data Validation', 'Database Optimization', 'collaboration', 'Data Management', 'Documentation', 'Data Cleansing', 'Advanced Excel']",1 Day Ago,https://www.naukri.com/job-listings-mis-executive-and-analyst-vision-india-services-noida-uttar-pradesh-3-to-7-years-171123005631
265,Key Account Associate || Job Hai || Infoedge,Info Edge,0-1 Yrs,"Noida, Uttar Pradesh, Greater Noida, Uttar Pradesh, Delhi / NCR","['Key Account Management', 'communication&coordination', 'Client Support', 'Problem Resolution', 'Data Analysis', 'Client Engagement', 'Reporting', 'Key']",1 Day Ago,https://www.naukri.com/job-listings-key-account-associate-hai-infoedge-info-edge-noida-uttar-pradesh-greater-noida-uttar-pradesh-delhi-ncr-0-to-1-years-220124002613
266,Auditor,Akraya,3-6 Yrs,Bengaluru,"['Auditing', 'Financial Auditing', 'Excel', 'Audit Report', 'Finance', 'Reporting']",1 Day Ago,https://www.naukri.com/job-listings-auditor-akraya-solutions-bengaluru-3-to-6-years-250124007542
267,MIS Executive,Locuz,1-3 Yrs,Bengaluru,"['MS EXCEL', 'Advanced Excel', 'MIS Reporting', 'Reporting', 'Microsoft', 'MIS', 'Excel']",1 Day Ago,https://www.naukri.com/job-listings-mis-executive-locuz-bengaluru-1-to-3-years-250124007470
268,Chief Business Development Officer,Tatva Chintan Pharma Chem,15-24 Yrs,"Vadodara, Gujarat","['International Marketing', 'US Sales', 'Marketing And Sales', 'Business Development', 'US Market', 'International Business Development', 'Latin America', 'Marketing']",1 Day Ago,https://www.naukri.com/job-listings-chief-business-development-officer-tatva-chintan-pharma-chem-vadodara-gujarat-15-to-24-years-250124005014
269,Financial Modeler,F1f9,0-2 Yrs,"Gurugram, Haryana(Udyog Vihar)","['Financial Modelling', 'Financial Analysis', 'MBA', 'Modeler', 'Analysis', 'Modeling', 'Finance']",1 Day Ago,https://www.naukri.com/job-listings-financial-modeler-f1f9-india-pvt-ltd-gurugram-haryana-0-to-2-years-250124007310
270,Mis Associate,Docsapp,0-2 Yrs,"Bengaluru, Karnataka","['MIS Operations', 'Advanced Excel', 'Accounts Reconciliation', 'Accounting', 'MIS', 'Excel', 'Operations', 'Reconciliation']",1 Day Ago,https://www.naukri.com/job-listings-mis-associate-docsapp-bengaluru-karnataka-0-to-2-years-250124007275
271,BAMS Doctor (Ayush),Finvasia,2-5 Yrs,"Chandigarh, Chandigarh","['Ayurvedic Medicine', 'Bac', 'Ayurveda', 'Medicine']",1 Day Ago,https://www.naukri.com/job-listings-bams-doctor-ayush-finvasia-chandigarh-chandigarh-2-to-5-years-250124007252
272,Data Scientist/Python Developer,Quantsapp,2-3 Yrs,Mumbai (All Areas),"['python', 'Websocket', 'Pandas', 'Kafka', 'Numpy', 'Core Python', 'MySQL', 'Rest full API']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-python-developer-quantsapp-mumbai-all-areas-2-to-3-years-240823008307
273,Supply Chain Management (SCM)Lead/ Production Planning Lead,Clean Harbors,7-10 Yrs,Hyderabad,"['Inventory Control', 'Production Planning', 'Supply Chain Management', 'Manufacturing', 'ERP', 'Api Integration', 'MRP Tool', 'SQL']",1 Day Ago,https://www.naukri.com/job-listings-supply-chain-management-scm-lead-production-planning-lead-clean-harbors-hyderabad-7-to-10-years-250124007173
274,Tableau Developer,Fulcrum Worldwide Software,6-11 Yrs,"Gurugram, Haryana","['Data Analysis', 'MSBI', 'Tableau', 'Statistics', 'Data Visualization', 'Data', 'Development', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-tableau-developer-fulcrum-worldwide-software-gurugram-haryana-6-to-11-years-250124007164
275,We do have openings For Java full stack Developer (H1B Visa Holders),WE do have more than 300 clients in U.S.,4-9 Yrs,USA,"['Java', 'Jvm', 'Hibernate', 'CSS', 'Spring Mvc', 'J2Ee', 'HTML', 'Node.Js']",1 Day Ago,https://www.naukri.com/job-listings-we-do-have-openings-for-java-full-stack-developer-h1b-visa-holders-busitants-inc-usa-4-to-9-years-230922009433
276,Data Engineer - Engineering,Xs Cad India,1-5 Yrs,"Mumbai Suburban, Maharashtra","['Data Engineering', 'Partitioning', 'Bucket', 'Data Modeling', 'Data Analytics', 'Data Transformation', 'Pyspark', 'Apache Flink']",1 Day Ago,https://www.naukri.com/job-listings-data-engineer-engineering-xs-cad-india-mumbai-suburban-maharashtra-1-to-5-years-250124007128
277,Regulatory Data Analyst ( Secondary Research ),Makrocare,3-6 Yrs,"Hyderabad/Secunderabad, Madhapur,  TS","['secondary research', 'scientific terminology', 'intelligence research', 'Data Research', 'data analysis', 'Clinical Trials data research', 'regulatory affairs', 'clinical trials']",1 Day Ago,https://www.naukri.com/job-listings-regulatory-data-analyst-secondary-research-makrocare-hyderabad-secunderabad-madhapur-ts-3-to-6-years-250124907056
278,Sales Manager ( Male / Female ),Apple Realty Bangalore,1-5 Yrs,"Bangalore/Bengaluru, North Bangalore,  Byatarayanapura","['sales management', 'client relationship management', 'pipeline management', 'sales strategy', 'sales budgeting', 'Forecasting', 'strategic planning', 'Sales']",1 Day Ago,https://www.naukri.com/job-listings-sales-manager-male-female-apple-realty-bangalore-bengaluru-north-bangalore-byatarayanapura-1-to-5-years-250124907047
279,Technical Lead,Quadratyx,7-10 Yrs,Hyderabad/Secunderabad,"['Algorithms', 'Kafka', 'DataStructures', 'Spark', 'Data Structures', 'Hadoop', 'Big Data', 'Python']",1 Day Ago,https://www.naukri.com/job-listings-technical-lead-quadratyx-hyderabad-secunderabad-7-to-10-years-250124906997
280,Fabric Sourcing Manager,Indibni,2-4 Yrs,Jaipur,"['Negotiation', 'Continuous Improvement', 'Contract Management', 'Financial Acumen', 'Vendor Management', 'Inventory Management', 'Budget Management', 'Fabric Sourcing']",1 Day Ago,https://www.naukri.com/job-listings-fabric-sourcing-manager-indibni-private-limited-jaipur-2-to-4-years-250124906975
281,Lead Data Analyst,Minimize,1-3 Yrs,"Noida, Sector - 62","['Data Analysis', 'R', 'Power BI', 'MySQL', 'linear regression', 'Data Visualization', 'Data cleansing', 'Tableau']",1 Day Ago,https://www.naukri.com/job-listings-lead-data-analyst-minimize-noida-sector-62-1-to-3-years-250124906957
282,Client Success Consultant,Netbramha Studios,3-5 Yrs,Bangalore/Bengaluru,"['Client Success', 'software development', 'user experience design', 'product management', 'Project Management', 'B2B Sales', 'communication skills', 'Sales']",1 Day Ago,https://www.naukri.com/job-listings-client-success-consultant-netbramha-studios-bangalore-bengaluru-3-to-5-years-250124906945
283,Executive HR or Admin,Edutest Solutions,2-3 Yrs,"Delhi / NCR, Delhi","['Business Administration or any related field.', 'Administration', 'HR', 'Vendor and employee management', 'Hrsd', 'Field', 'Employee management', 'Vendor']",1 Day Ago,https://www.naukri.com/job-listings-executive-hr-or-admin-edutest-solutions-delhi-ncr-delhi-2-to-3-years-250124906923
284,Process Controller - US IT Recruitment Firm,Panzer Technologies,4-8 Yrs,Hyderabad/Secunderabad,"['Process Optimization', 'US employment laws', 'project management', 'recruitment', 'HR process management', 'Data Analysis and Reporting', 'Client and Stakeholder Communication', 'Compliance Management']",1 Day Ago,https://www.naukri.com/job-listings-process-controller-us-it-recruitment-firm-panzer-technologies-hyderabad-secunderabad-4-to-8-years-250124906862
285,Copy Writer,Adityaram Properties,2-6 Yrs,Chennai(Panayur +1),"['Copy Writing', 'Content Writing', 'Blogs', 'Web Content', 'Web technologies', 'Content', 'Writing']",1 Day Ago,https://www.naukri.com/job-listings-copy-writer-adityaram-properties-chennai-2-to-6-years-250124006838
286,Snowflake Developer,IT Services & Consulting,4-6 Yrs,Bangalore/Bengaluru,"['SnowSQL', 'Snowpipe', 'Snowflake', 'AWS', 'Python', 'Data Validation', 'Shell Scripting', 'Teradata']",1 Day Ago,https://www.naukri.com/job-listings-snowflake-developer-serendipity-corporate-services-bangalore-bengaluru-4-to-6-years-250124906810
287,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,"Ahmedabad, Gurugram, Haryana, Mumbai (All Areas)","['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-ahmedabad-gurugram-haryana-mumbai-all-areas-3-to-8-years-250124906785
288,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Jaipur,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-jaipur-3-to-8-years-250124906782
289,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Ahmedabad,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-ahmedabad-3-to-8-years-250124906779
290,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Chennai,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-chennai-3-to-8-years-250124906777
291,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Hyderabad,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-hyderabad-3-to-8-years-250124906774
292,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Patna,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-patna-3-to-8-years-250124906771
293,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Mohali,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-mohali-3-to-8-years-250124906769
294,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Kolkata,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-kolkata-3-to-8-years-250124906766
295,Assistant Manager (Strategy & Data Analyst) - Pan India Location,Workoid Consultants.,3-8 Yrs,Bhubaneswar,"['Corporate Strategy', 'Business Strategy', 'Management Consulting', 'Data Analysis', 'Business Analyst', 'Power BI', 'Data Analyst', 'Strategic Executive Assistant']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-strategy-data-analyst-pan-india-location-workoid-consultants-bhubaneswar-3-to-8-years-250124906763
296,Nutrigenomics Research Analyst,Haystackanalytics,4-6 Yrs,Mumbai,"['Human Genomics', 'Linux OS system', 'data analysis', 'Bash scripting', 'Snakemake', 'statistical analysis', 'Bioinformatics', 'Python']",1 Day Ago,https://www.naukri.com/job-listings-nutrigenomics-research-analyst-haystackanalytics-pvt-ltd-mumbai-4-to-6-years-250124906609
297,Master Data Operations Analyst,Int9 Solutions,5-7 Yrs,Remote,"['data models', 'Data Wrangling', 'MDM Tools', 'Data Operations', 'Java', 'data warehouse', 'SAP', 'Anaplan']",1 Day Ago,https://www.naukri.com/job-listings-master-data-operations-analyst-int9-solutions-bangalore-bengaluru-5-to-7-years-250124906603
298,Data Scientist,Genique Management,2-7 Yrs,"Mumbai, Chennai, Bangalore/Bengaluru","['Python', 'Data Science', 'Data Scientist', 'Artificial Intelligence', 'MySql', 'Data Analyst', 'Powe BI', 'Machine Learning']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-genique-management-mumbai-chennai-bangalore-bengaluru-2-to-7-years-250124906557
299,"Business Analyst
",Leading Client,3-8 Yrs,Mumbai,"['Business Analysis', 'SQL', 'Business Intelligence platforms', 'data analysis', 'SQL programming', 'relational database design', 'SQL Server Reporting Services', 'Alteryx']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-syncup-mumbai-3-to-8-years-250124906540
300,Senior Marketing Executive - B2B Tech,Retail,3-5 Yrs,Coimbatore,"['B2B marketing', 'digital marketing', 'email marketing', 'b2b sales', 'IT product sales', 'lead generation', 'campaign marketing', 'market research']",1 Day Ago,https://www.naukri.com/job-listings-senior-marketing-executive-b2b-tech-4s-advisory-coimbatore-3-to-5-years-250124906526
301,Senior Marketing Operations Analyst,Education / Training,5-7 Yrs,"Mumbai, Delhi / NCR, Bangalore/Bengaluru","['Data Visualization', 'SQL', 'Big Query', 'Azure', 'Power BI', 'Marketing Operations Analyst', 'marketing data analytics', 'Tableau']",1 Day Ago,https://www.naukri.com/job-listings-senior-marketing-operations-analyst-purvi-consultancy-services-pvt-ltd-mumbai-delhi-ncr-bangalore-bengaluru-5-to-7-years-250124906514
302,Intern - Marketing,Tensorgo Technologies,0-1 Yrs,Hyderabad/Secunderabad,"['Content Creation', 'Data Analysis', 'Social Media Management', 'Market Strategy', 'Market Research', 'marketing strategy', 'customer service', 'Customer Engagement']",1 Day Ago,https://www.naukri.com/job-listings-intern-marketing-tensorgo-technologies-hyderabad-secunderabad-0-to-1-years-250124906493
303,NLP Data Scientist,Winning Edge,5-7 Yrs,Bangalore/Bengaluru,"['natural language processing', 'Content search', 'Semantic search', 'Elasticsearch', 'Query expansion', 'text mining', 'data engineering', 'Elastic Search']",1 Day Ago,https://www.naukri.com/job-listings-nlp-data-scientist-edge-bangalore-bengaluru-5-to-7-years-250124906454
304,SAS Analyst,Viaprom Technologies,2-3 Yrs,Bangalore/Bengaluru,"['SAS', 'adhoc analysis', 'data analytics', 'SAS Programming', 'statistical analysis', 'SQL', 'Programming', 'Statistics']",1 Day Ago,https://www.naukri.com/job-listings-sas-analyst-viaprom-technologies-pvt-ltd-bangalore-bengaluru-2-to-3-years-250124906451
305,Consultant - Presales,Sportism,2-4 Yrs,Gurgaon/Gurugram,"['data analysis', 'client delivery', 'Presales', 'sales support', 'benchmarking', 'Sourcing Strategy', 'Bid Management', 'financial modelling']",1 Day Ago,https://www.naukri.com/job-listings-consultant-presales-sportism-gurgaon-gurugram-2-to-4-years-250124906431
306,Sr Consultant - Presales / Bid Management,Sportism,4-9 Yrs,Gurgaon/Gurugram,"['Bid Management', 'RFPs', 'data analysis', 'product development', 'RFIs', 'Presales', 'Proposal Management', 'Solutioning']",1 Day Ago,https://www.naukri.com/job-listings-sr-consultant-presales-bid-management-sportism-gurgaon-gurugram-4-to-9-years-250124906430
307,Aviation Project Manager,Innvocon Learning Solutions,3-7 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Project Management', 'Aviation management', 'Aviation Project Manager', 'Data Management', 'Data analytics', 'revenue management', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-aviation-project-manager-innvocon-learning-solutions-bangalore-bengaluru-3-to-7-years-250124906381
308,Aviation Manager,Innvocon Learning Solutions,3-5 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Aviation Management', 'Sender', 'data management', 'Electronic Direct Mail', 'Mailchimp', 'aviation operations', 'Canva']",1 Day Ago,https://www.naukri.com/job-listings-aviation-manager-innvocon-learning-solutions-bangalore-bengaluru-3-to-5-years-250124906376
309,Business Analyst - Ecommerce,Codilar,4-6 Yrs,Bangalore/Bengaluru,"['Business analysis', 'BRD', 'Ecommerce', 'FRD', 'Google Analytics', 'data analysis', 'Business Analyst', 'Agile methodologies']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-ecommerce-codilar-technologies-bangalore-bengaluru-4-to-6-years-250124906356
310,Senior PowerBI Specialist,Brillio,5-7 Yrs,Bengaluru,"['advance sql', 'analytical', 'program management', 'crm analytics', 'power bi', 'brass', 'marketing automation', 'marketing']",1 Day Ago,https://www.naukri.com/job-listings-senior-powerbi-specialist-brillio-bengaluru-5-to-7-years-250124006262
311,Executive Timesheet,Collabera,1-3 Yrs,"Vadodara, Gujarat","['Excel', 'Accounting', 'Customer Care', 'Calling', 'Invoicing', 'VLOOKUP', 'Billing', 'Pivot']",1 Day Ago,https://www.naukri.com/job-listings-executive-timesheet-collabera-talent-solutions-vadodara-gujarat-1-to-3-years-011223004754
312,Data Scientist,IBM,3-6 Yrs,Bangalore/Bengaluru,"['Open source', 'Technical support', 'SQL', 'Python', 'Technical documentation', 'NoSQL', 'Django', 'Machine learning']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-3-to-6-years-250124906170
313,ML Data Engineer,IBM,2-5 Yrs,Bangalore/Bengaluru,"['Automation', 'Data migration', 'Oracle', 'SQL', 'Python', 'data security', 'Machine learning', 'Data quality']",1 Day Ago,https://www.naukri.com/job-listings-ml-data-engineer-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-250124906134
314,Data Scientist,IBM,3-6 Yrs,Bangalore/Bengaluru,"['Open source', 'Technical support', 'SQL', 'Python', 'Technical documentation', 'github', 'NoSQL', 'Django']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-3-to-6-years-250124906128
315,Application Developer: Adobe Marketing & Analytics,IBM,2-6 Yrs,Bangalore/Bengaluru,"['Javascript', 'HTML', 'Business strategy', 'Adobe', 'Downstream', 'Site management', 'Marketing analytics', 'Software packages']",1 Day Ago,https://www.naukri.com/job-listings-application-developer-adobe-marketing-analytics-ibm-india-pvt-limited-bangalore-bengaluru-2-to-6-years-250124906124
